"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"276","Asia (AD) Durr signed a Training Camp Contract with the Atlanta Dream.","2023-02-01"
"277","Shatori Walker-Kimbrough signed a Contract with the Washington Mystics.","2023-02-01"
"278","Erica Wheeler signed a Contract with the Indiana Fever.","2023-02-01"
"279","Jazmine Jones signed a Training Camp Contract with the Washington Mystics.","2023-01-23"
"280","The exclusive negotiating rights of Amanda Zahui B were traded from the Los Angeles Sparks to the Las Vegas Aces.","2023-01-21"
"281","Dearica Hamby was traded from the Las Vegas Aces to the Los Angeles Sparks.","2023-01-21"
"282","Allisha Gray was traded from the Dallas Wings to the Atlanta Dream.","2023-01-21"
"283","Evina Westbrook signed a Training Camp Contract with the Washington Mystics.","2023-01-20"
"284","The Connecticut Sun extended a Core qualifying offer to Brionna Jones.","2023-01-19"
"285","Jasmine Thomas was traded from the Connecticut Sun to the Los Angeles Sparks.","2023-01-16"
"286","The exclusive negotiating rights of Kianna Smith were traded from the Los Angeles Sparks to the Connecticut Sun.","2023-01-16"
"287","Olivia Nelson-Ododa was traded from the Los Angeles Sparks to the Connecticut Sun.","2023-01-16"
"288","Jasmine Walker was traded from the Los Angeles Sparks to the Connecticut Sun.","2023-01-16"
"289","Kayla Thornton was traded from the Dallas Wings to the New York Liberty.","2023-01-15"
"290","Jonquel Jones was traded from the Connecticut Sun to the New York Liberty.","2023-01-15"
"291","The exclusive negotiating rights of Crystal Dangerfield were traded from the New York Liberty to the Dallas Wings.","2023-01-15"
"292","Natasha Howard was traded from the New York Liberty to the Dallas Wings.","2023-01-15"
"293","Rebecca Allen was traded from the New York Liberty to the Connecticut Sun.","2023-01-15"
"294","Tyasha Harris was traded from the Dallas Wings to the Connecticut Sun.","2023-01-15"
"295","The Washington Mystics extended a Reserved qualifying offer to Evina Westbrook.","2023-01-13"
"296","The Washington Mystics extended a Reserved qualifying offer to Jazmine Jones.","2023-01-13"
"297","The Washington Mystics extended a Reserved qualifying offer to Rui Machida.","2023-01-13"
"298","The Minnesota Lynx extended a Reserved qualifying offer to Anna Cruz.","2023-01-13"
"299","The Minnesota Lynx extended a Restricted qualifying offer to Bridget Carleton.","2023-01-13"
"300","The Los Angeles Sparks extended a Reserved qualifying offer to Kianna Smith.","2023-01-13"
"301","The Atlanta Dream extended a Reserved qualifying offer to Asia (AD) Durr.","2023-01-13"
